	mass_A
t	x
2.443500E1	3.205939E-2
2.444000E1	3.206223E-2
2.444333E1	3.322057E-2
2.444833E1	3.512736E-2
2.445167E1	3.475428E-2
2.445667E1	3.516786E-2
2.446000E1	3.667729E-2
2.446500E1	3.783565E-2
2.446833E1	3.899442E-2
2.447333E1	3.975896E-2
2.447667E1	4.128984E-2
2.448167E1	4.283754E-2
2.448500E1	4.784105E-2
2.449833E1	4.822374E-2
2.450167E1	4.900202E-2
2.450667E1	5.169095E-2
2.451000E1	5.245435E-2
2.451833E1	5.362004E-2
2.452333E1	5.400471E-2
2.452667E1	5.556864E-2
2.453167E1	5.862100E-2
2.453500E1	6.052785E-2
2.454000E1	6.053850E-2
2.454333E1	6.090701E-2
2.454833E1	6.592746E-2
2.455167E1	6.747579E-2
2.456500E1	6.786697E-2
2.456833E1	6.977614E-2
2.457333E1	6.982855E-2
2.457667E1	7.132374E-2
2.458167E1	7.324021E-2
2.458500E1	7.631328E-2
2.459000E1	7.594153E-2
2.459333E1	7.748385E-2
2.459833E1	7.862876E-2
2.460167E1	8.054843E-2
2.460667E1	8.132264E-2
2.461167E1	8.286045E-2
2.461500E1	8.671126E-2
2.462333E1	8.748265E-2
2.462833E1	9.017144E-2
2.463667E1	9.135626E-2
2.464000E1	9.287466E-2
2.464500E1	9.442334E-2
2.464833E1	9.595704E-2
2.465333E1	9.710861E-2
2.465667E1	9.902341E-2
2.466167E1	1.013397E-1
2.466500E1	1.017287E-1
2.467000E1	1.032897E-1
2.467333E1	1.051715E-1
2.467833E1	1.094690E-1
2.469000E1	1.117209E-1
2.469500E1	1.128917E-1
2.469833E1	1.148190E-1
2.470333E1	1.174939E-1
2.471167E1	1.205787E-1
2.471500E1	1.213473E-1
2.472000E1	1.221200E-1
2.472333E1	1.259570E-1
2.472833E1	1.252203E-1
2.473167E1	1.282679E-1
2.473667E1	1.286770E-1
2.474000E1	1.297565E-1
2.474500E1	1.348594E-1
2.475667E1	1.371234E-1
2.476167E1	1.373354E-1
2.476500E1	1.398473E-1
2.477000E1	1.419473E-1
2.477833E1	1.444135E-1
2.478167E1	1.460609E-1
2.478667E1	1.482773E-1
2.479000E1	1.494503E-1
2.479500E1	1.510140E-1
2.479833E1	1.525765E-1
2.480333E1	1.542450E-1
2.480667E1	1.559591E-1
2.481167E1	1.575356E-1
2.481500E1	1.598323E-1
2.482000E1	1.610637E-1
2.482333E1	1.625491E-1
2.482833E1	1.644810E-1
2.483167E1	1.659630E-1
2.483667E1	1.675866E-1
2.484000E1	1.694620E-1
2.484500E1	1.710046E-1
2.484833E1	1.726828E-1
2.485333E1	1.741793E-1
2.485667E1	1.763777E-1
2.486167E1	1.776843E-1
2.486500E1	1.810495E-1
2.487333E1	1.825979E-1
2.487833E1	1.860531E-1
2.488667E1	1.879221E-1
2.489000E1	1.894732E-1
2.489500E1	1.910810E-1
2.489833E1	1.929520E-1
2.490333E1	1.948702E-1
2.490667E1	1.963961E-1
2.491167E1	1.994634E-1
2.491500E1	1.994813E-1
2.492000E1	2.017817E-1
2.492333E1	2.029500E-1
2.492833E1	2.060407E-1
2.493667E1	2.094875E-1
2.494500E1	2.110333E-1
2.494833E1	2.152503E-1
2.495667E1	2.160696E-1
2.496167E1	2.179861E-1
2.496500E1	2.194751E-1
2.497000E1	2.210671E-1
2.497333E1	2.229425E-1
2.497833E1	2.252621E-1
2.498167E1	2.264102E-1
2.498667E1	2.275783E-1
2.499000E1	2.291763E-1
2.499500E1	2.306985E-1
2.499833E1	2.323244E-1
2.500333E1	2.360291E-1
2.501167E1	2.375599E-1
2.501500E1	2.391180E-1
2.502000E1	2.406784E-1
2.502333E1	2.425574E-1
2.502833E1	2.440986E-1
2.503167E1	2.456809E-1
2.503667E1	2.491042E-1
2.504000E1	2.491188E-1
2.504500E1	2.506752E-1
2.504833E1	2.522084E-1
2.505333E1	2.537623E-1
2.505667E1	2.552812E-1
2.506167E1	2.583470E-1
2.507000E1	2.618272E-1
2.507833E1	2.641380E-1
2.508167E1	2.648757E-1
2.508667E1	2.672088E-1
2.509000E1	2.687508E-1
2.509500E1	2.714417E-1
2.509833E1	2.722053E-1
2.510333E1	2.733611E-1
2.510667E1	2.760468E-1
2.511167E1	2.775953E-1
2.511500E1	2.783677E-1
2.512000E1	2.795246E-1
2.512333E1	2.818320E-1
2.512833E1	2.845368E-1
2.513667E1	2.868243E-1
2.514500E1	2.891440E-1
2.514833E1	2.899273E-1
2.515333E1	2.910829E-1
