	mass_A
t	x
6.270000E0	4.488478E1
6.273333E0	4.645206E1
6.278333E0	4.788265E1
6.281667E0	4.988202E1
6.286667E0	5.090041E1
6.290000E0	5.245537E1
6.295000E0	5.388158E1
6.298333E0	5.528173E1
6.303333E0	5.721478E1
6.306667E0	5.848921E1
6.311667E0	5.982784E1
6.315000E0	6.131714E1
6.320000E0	6.324232E1
6.323333E0	6.436019E1
6.328333E0	6.626512E1
6.331667E0	6.765897E1
6.336667E0	6.910006E1
6.340000E0	7.064806E1
6.345000E0	7.198229E1
6.348333E0	7.310365E1
6.353333E0	7.480997E1
6.356667E0	7.579815E1
6.361667E0	7.708998E1
6.365000E0	7.908511E1
6.370000E0	8.012348E1
6.373333E0	8.198858E1
6.378333E0	8.309245E1
6.381667E0	8.439237E1
6.385000E0	8.596106E1
6.390000E0	8.696703E1
6.393333E0	8.821632E1
6.398333E0	8.955584E1
6.401667E0	9.127260E1
6.406667E0	9.199754E1
6.410000E0	9.317720E1
6.415000E0	9.485346E1
6.418333E0	9.606917E1
6.423333E0	9.723322E1
6.426667E0	9.831882E1
6.431667E0	1.000469E2
6.435000E0	1.012318E2
